country,0
UNITED STATES,20206
CHINA,11159
PHILIPPINES,9095
RUSSIAN FEDERATION,8683
JAPAN,8606
BRAZIL,7073
INDONESIA,6513
MEXICO,5920
INDIA,5306
FRANCE,4981
GERMANY,3975
UNITED KINGDOM,3597
UKRAINE,3308
POLAND,2786
"KOREA, REP",2566
COLOMBIA,2276
CANADA,1924
IRAN,1693
TAIWAN,1510
SPAIN,1405
THAILAND,1330
TURKEY,1220
VIETNAM,1188
BELGIUM,1117
ITALY,1069
ARGENTINA,1030
ROMANIA,1021
PAKISTAN,988
PERU,983
KAZAKHSTAN,929
MOROCCO,923
"KOREA, DEM PEOPLE���S REP",855
AUSTRALIA,832
PORTUGAL,798
NIGERIA,763
VENEZUELA,750
NETHERLANDS,746
BULGARIA,721
ALGERIA,720
HUNGARY,718
CHILE,681
SWEDEN,664
MYANMAR,658
ISRAEL,651
UZBEKISTAN,647
BANGLADESH,625
SOUTH AFRICA,620
BELARUS,599
AUSTRIA,567
IRAQ,558
IRELAND,551
NORWAY,537
CUBA,537
DENMARK,524
MALAYSIA,508
FINLAND,505
COTE D'IVOIRE,502
GHANA,489
ARMENIA,488
ECUADOR,477
SUDAN,474
"CONGO, DEM REP",455
CZECH REPUBLIC,427
AZERBAIJAN,420
EGYPT,404
GREECE,404
KENYA,398
CAMBODIA,391
COSTA RICA,381
BOLIVIA,373
GEORGIA,365
MONGOLIA,351
MADAGASCAR,349
LEBANON,345
SENEGAL,343
NICARAGUA,343
SAUDI ARABIA,340
NEW ZEALAND,332
PARAGUAY,324
ETHIOPIA,323
SWITZERLAND,307
SLOVAK REPUBLIC,303
DOMINICAN REPUBLIC,298
OMAN,273
HOLY SEE,272
CAMEROON,271
LATVIA,265
TANZANIA,260
KYRGYZ REPUBLIC,259
UNITED ARAB EMIRATES,244
LITHUANIA,243
AFGHANISTAN,241
EL SALVADOR,240
GUATEMALA,238
CYPRUS,237
TUNISIA,224
PALESTINE,222
SRI LANKA,220
UGANDA,205
TAJIKISTAN,204
MOLDOVA,202
JORDAN,183
PANAMA,181
BURKINA FASO,180
CROATIA,178
GUINEA,174
SLOVENIA,168
ANGOLA,167
ALBANIA,167
ZAMBIA,164
BOSNIA AND HERZEGOVINA,162
HAITI,157
MOZAMBIQUE,156
SOMALIA,151
URUGUAY,151
HONDURAS,140
TURKMENISTAN,139
CHINA - HONG KONG,133
MALAWI,131
BENIN,123
SYRIAN ARAB REPUBLIC,120
LIBYA,119
GABON,117
ESTONIA,117
SERBIA,113
ICELAND,108
SINGAPORE,105
TOGO,102
RWANDA,95
ZIMBABWE,86
JAMAICA,81
NIGER,81
NORTH MACEDONIA,80
BAHRAIN,77
KUWAIT,75
BOTSWANA,75
YEMEN,73
FIJI,69
TRINIDAD AND TOBAGO,68
CHAD,68
PAPUA NEW GUINEA,64
MALI,59
NEPAL,58
LIBERIA,57
MAURITIUS,49
BELIZE,45
GUINEA BISSAU,43
SIERRA LEONE,42
ESWATINI,42
LAO PDR,38
BURUNDI,38
CENTRAL AFRICAN REPUBLIC,37
MALDIVES,35
ERITREA,35
MONTENEGRO,33
MAURITANIA,33
MALTA,30
CABO VERDE,29
FRANCE - FRENCH GUYANA,28
SOUTH SUDAN,28
NAMIBIA,24
LIECHTENSTEIN,24
GUYANA,23
GRENADA,22
BRUNEI DARUSSALAM,21
SOLOMON ISLANDS,19
QATAR,18
LESOTHO,18
"CONGO, REP",18
FRANCE - REUNION,17
SAMOA,17
FRANCE - MARTINIQUE,17
SURINAME,16
LUXEMBOURG,15
ARUBA,14
BHUTAN,13
FAROE ISLANDS,12
"ROMANIA""",12
BARBADOS,12
CURA��AO,11
MONACO,11
"BAHAMAS, THE",10
TONGA,10
ANDORRA,10
"PERU""",8
SAN MARINO,8
FRANCE - NEW CALEDONIA,7
FRANCE - FRENCH POLYNESIA,7
TIMOR LESTE,7
SAINT KITTS AND NEVIS,7
EQUATORIAL GUINEA,6
THE GAMBIA,5
SAO TOME AND PRINCIPE,5
"ITALY""",4
"ARGENTINA""",4
COMOROS,4
DJIBOUTI,3
SEYCHELLES,3
