countrycode,students
ABW,3870.0
AFG,555026.0
AGO,588468.0
ALB,558980.0
AND,7431.0
ARE,447162.0
ARG,11907365.0
ARM,1054353.0
AUS,8151086.0
AUT,2583891.0
AZE,1699585.0
BDI,92085.0
BEL,997207.0
BEN,707178.0
BFA,329367.0
BGD,5430354.0
BGR,1896312.0
BHR,171507.0
BHS,16797.0
BIH,806304.0
BLR,2514917.0
BLZ,2051.0
BOL,2667842.0
BRA,32573449.0
BRB,38702.0
BRN,31151.0
BTN,53416.0
BWA,153183.0
CAF,43370.0
CAN,15739589.0
CHE,1636539.0
CHL,4182734.0
CHN,63595771.0
CIV,1037943.0
CMR,938866.0
COD,935307.0
COG,141940.0
COL,11452806.0
COM,646.0
CPV,55968.0
CRI,1254519.0
CUB,1770174.0
CYP,240620.0
CZE,2319657.0
DEU,18990964.0
DJI,20306.0
DNK,489252.0
DOM,2644678.0
DZA,4493616.0
ECU,3283408.0
EGY,12292342.0
ERI,40507.0
ESP,11925594.0
EST,290374.0
ETH,2521441.0
FIN,793685.0
FJI,122996.0
FRA,16069902.0
FRO,2118.0
GAB,166955.0
GBR,32752878.0
GEO,991835.0
GHA,1278717.0
GIN,627202.0
GMB,14929.0
GNB,5885.0
GNQ,21257.0
GRC,2210980.0
GRD,25147.0
GTM,15508030.0
GUY,46336.0
HKG,1058519.0
HND,816431.0
HRV,1265566.0
HTI,102830.0
HUN,906742.0
IDN,17201532.0
IND,97583864.0
IRL,4105582.0
IRN,17325572.0
IRQ,3123419.0
ISL,26448.0
ISR,2399533.0
ITA,16490616.0
JAM,254624.0
JOR,1339073.0
JPN,26212898.0
KAZ,3559611.0
KEN,2044753.0
KGZ,1065576.0
KHM,1025157.0
KNA,239.0
KOR,14692294.0
KWT,410512.0
LAO,251645.0
LBN,1308402.0
LBR,144010.0
LBY,1217155.0
LIE,5530.0
LKA,826366.0
LSO,37563.0
LTU,1027555.0
LUX,22979.0
LVA,680581.0
MAR,3028018.0
MCO,4922.0
MDA,858509.0
MDG,524872.0
MDV,57035.0
MEX,28615985.0
MKD,564559.0
MLI,151665.0
MLT,68326.0
MMR,9118549.0
MNE,164191.0
MNG,609795.0
MOZ,273157.0
MRT,132515.0
MUS,86759.0
MWI,169732.0
MYS,3536357.0
NAM,367130.0
NER,110442.0
NGA,6006787.0
NIC,1080902.0
NLD,4480908.0
NOR,908423.0
NPL,1863882.0
NZL,2448365.0
OMN,692807.0
PAK,5738757.0
PAN,1415537.0
PER,5610259.0
PHL,38929878.0
PNG,109784.0
POL,11021514.0
PRK,6679728.0
PRT,2225578.0
PRY,1463057.0
PSE,1099883.0
PYF,15063.0
QAT,66520.0
ROU,2995041.0
RUS,34933929.0
RWA,130323.0
SAU,4218575.0
SDN,2079138.0
SEN,599702.0
SGP,351936.0
SLB,1322.0
SLE,21697.0
SLV,949675.0
SMR,1337.0
SOM,361610.0
SRB,1943469.0
SSD,50265.0
STP,371.0
SUR,30628.0
SVK,1517846.0
SVN,683351.0
SWE,1942332.0
SWZ,45998.0
SYC,237.0
SYR,3084927.0
TCD,81171.0
TGO,193161.0
THA,12680068.0
TJK,519605.0
TKM,190630.0
TLS,8953.0
TON,324.0
TTO,142461.0
TUN,1367634.0
TUR,13446868.0
TZA,605362.0
UGA,560941.0
UKR,13085616.0
URY,1210473.0
USA,53203189.0
UZB,2740467.0
VEN,5862043.0
VNM,6963903.0
WSM,12020.0
YEM,599588.0
ZAF,4938872.0
ZMB,270518.0
ZWE,423472.0
