year,public,private
1950-01-01,4188509.0,1197597.0
1955-01-01,5222437.0,1408262.0
1960-01-01,7410754.0,1973438.0
1965-01-01,10141061.0,2612490.0
1970-01-01,14278199.0,3544532.0
1975-01-01,20535151.0,4703582.0
1980-01-01,25831690.0,5973674.0
1985-01-01,31447302.0,7700681.0
1990-01-01,37786503.0,9909324.0
1995-01-01,45867791.0,12997885.0
2000-01-01,56682732.0,17819977.0
2005-01-01,68971793.0,25274876.0
2010-01-01,85485311.0,32873654.0
2015-01-01,100832743.0,39916810.0
2020-01-01,118202154.0,45586434.0
