year,private,public
1950-01-01,4188509.0,2395194.0
1955-01-01,5222437.0,2816524.0
1960-01-01,7410754.0,3946876.0
1965-01-01,10141061.0,5224980.0
1970-01-01,14278199.0,7089064.0
1975-01-01,20535151.0,9407164.0
1980-01-01,25831690.0,11947348.0
1985-01-01,31447302.0,15401362.0
1990-01-01,37786503.0,19818648.0
1995-01-01,45867791.0,25995770.0
2000-01-01,56682732.0,35639954.0
2005-01-01,68971793.0,50549752.0
2010-01-01,85485311.0,65747308.0
2015-01-01,100832743.0,79833620.0
2020-01-01,118202154.0,91172868.0
